car_id,car_name,brand_id,price_per_day,agency_id
CAR0,fortwo,MKR10,106,AG3
CAR1,Xterra,MKR0,187,AG0
CAR2,Sierra 1500 Extended Cab,MKR0,83,AG2
CAR3,Probe,MKR15,158,AG2
CAR4,Tacoma Xtracab,MKR2,187,AG4
CAR5,Impala,MKR3,97,AG1
CAR6,Sedona,MKR10,64,AG2
CAR7,Wrangler,MKR3,148,AG0
CAR8,F350 Super Duty Regular Cab,MKR7,185,AG2
CAR9,Mountaineer,MKR3,163,AG0
CAR10,6 Series,MKR7,56,AG1
CAR11,F350 Super Duty Regular Cab,MKR8,103,AG2
CAR12,Insight,MKR14,100,AG4
CAR13,X-Type,MKR11,116,AG0
CAR14,Fox,MKR4,165,AG0
CAR15,Summit,MKR15,197,AG3
CAR16,Versa,MKR1,152,AG3
CAR17,Murcielago,MKR6,152,AG1
CAR18,Vigor,MKR14,167,AG3
CAR19,MAZDA3,MKR2,139,AG3
CAR20,Journey,MKR11,123,AG0
CAR21,Endeavor,MKR1,62,AG3
CAR22,LeBaron,MKR3,171,AG3
CAR23,Maxima,MKR13,101,AG3
CAR24,Flex,MKR6,76,AG1
CAR25,1500 Regular Cab,MKR3,52,AG3
CAR26,Sentra,MKR5,171,AG3
CAR27,F150 Regular Cab,MKR11,70,AG1
CAR28,Express 2500 Cargo,MKR13,93,AG0
CAR29,Sienna,MKR5,178,AG2
CAR30,Sierra (Classic) 2500 HD Extended Cab,MKR11,185,AG0
CAR31,Ram 3500 Mega Cab,MKR13,64,AG2
CAR32,Range Rover,MKR5,151,AG0
CAR33,Prius Prime,MKR12,126,AG4
CAR34,2500 Mega Cab,MKR11,86,AG1
CAR35,Versa,MKR0,101,AG0
CAR36,Mirage,MKR7,53,AG2
CAR37,Sedona,MKR1,86,AG3
CAR38,City Express,MKR10,140,AG0
CAR39,Ram Wagon 1500,MKR6,114,AG3
CAR40,Pacifica Hybrid,MKR15,146,AG0
CAR41,S10 Regular Cab,MKR9,70,AG0
CAR42,7 Series,MKR10,88,AG3
CAR43,Journey,MKR7,108,AG0
CAR44,Sierra 3500 HD Extended Cab,MKR7,54,AG0
CAR45,NV2500 HD Cargo,MKR0,93,AG0
CAR46,Element,MKR12,191,AG4
CAR47,S60,MKR1,121,AG4
CAR48,Cayman,MKR3,99,AG0
CAR49,Seville,MKR3,92,AG4
CAR50,Pacifica Hybrid,MKR7,117,AG1
CAR51,Blazer,MKR15,101,AG1
CAR52,Durango,MKR8,183,AG3
CAR53,1500 Crew Cab,MKR7,90,AG3
CAR54,Ram 3500 Club Cab,MKR3,81,AG4
CAR55,Sebring,MKR5,129,AG2
CAR56,Escalade ESV,MKR5,89,AG4
CAR57,CX-7,MKR5,153,AG1
CAR58,Elantra,MKR7,101,AG0
CAR59,C70,MKR14,95,AG2
CAR60,Outlander PHEV,MKR5,160,AG0
CAR61,Century,MKR5,99,AG1
CAR62,MX-5 Miata,MKR2,91,AG0
