rental_id,customer_id,car_id,rental_date,return_date
RNT0,CUST263,CAR92,2022-04-24,2023-10-07
RNT1,CUST4693,CAR2,2022-12-27,2023-06-21
RNT2,CUST3976,CAR37,2024-02-26,2024-07-02
RNT3,CUST14701,CAR68,2023-12-04,2021-10-29
RNT4,CUST9815,CAR82,2023-05-26,2022-08-29
RNT5,CUST14088,CAR2,2021-10-15,2022-08-22
RNT6,CUST11704,CAR48,2023-12-08,2023-01-20
RNT7,CUST13916,CAR76,2024-06-04,2022-03-31
RNT8,CUST1636,CAR71,2022-10-29,2022-08-21
RNT9,CUST12030,CAR78,2024-07-10,2023-11-05
RNT10,CUST1254,CAR55,2023-12-04,2022-11-14
RNT11,CUST6065,CAR33,2023-09-21,2024-01-18
RNT12,CUST2698,CAR41,2024-06-30,2023-06-24
RNT13,CUST11050,CAR27,2024-04-21,2021-10-14
RNT14,CUST6612,CAR59,2022-06-28,2023-11-29
RNT15,CUST9557,CAR51,2024-02-09,2022-04-09
RNT16,CUST11106,CAR49,2024-06-07,2023-08-03
RNT17,CUST475,CAR52,2024-06-09,2021-11-19
RNT18,CUST16778,CAR15,2023-12-23,2022-06-22
RNT19,CUST309,CAR13,2023-04-02,2024-08-18
RNT20,CUST1760,CAR71,2023-04-10,2023-01-19
RNT21,CUST11181,CAR25,2024-09-06,2024-03-30
RNT22,CUST7288,CAR47,2022-11-09,2024-06-04
RNT23,CUST13369,CAR55,2023-02-19,2024-07-05
RNT24,CUST6833,CAR42,2023-10-06,2021-11-03
RNT25,CUST7523,CAR81,2023-01-03,2021-12-04
RNT26,CUST13019,CAR70,2022-12-18,2022-07-27
RNT27,CUST12588,CAR53,2023-06-27,2021-10-31
RNT28,CUST9315,CAR73,2022-05-11,2024-06-30
RNT29,CUST16761,CAR92,2023-10-23,2024-01-06
RNT30,CUST15889,CAR24,2021-12-19,2021-09-25
RNT31,CUST1003,CAR76,2023-03-18,2024-07-15
RNT32,CUST17260,CAR68,2022-02-09,2022-08-25
RNT33,CUST6961,CAR47,2024-02-28,2022-09-06
RNT34,CUST2163,CAR79,2022-06-18,2023-01-30
RNT35,CUST13962,CAR79,2022-07-10,2022-01-02
RNT36,CUST1972,CAR86,2023-10-24,2024-08-17
RNT37,CUST14011,CAR41,2023-12-20,2024-09-04
RNT38,CUST778,CAR30,2022-11-13,2022-03-08
RNT39,CUST9351,CAR16,2022-08-08,2023-04-03
RNT40,CUST3211,CAR48,2023-07-06,2023-11-24
RNT41,CUST6726,CAR39,2024-01-01,2022-01-31
RNT42,CUST14330,CAR83,2021-11-04,2023-06-10
RNT43,CUST5652,CAR77,2022-03-31,2022-11-21
RNT44,CUST9128,CAR44,2022-10-06,2024-08-22
RNT45,CUST15722,CAR21,2024-05-08,2022-03-16
RNT46,CUST16444,CAR38,2024-03-31,2022-12-22
RNT47,CUST17045,CAR2,2022-08-19,2023-09-14
RNT48,CUST1099,CAR19,2022-02-21,2023-07-20
RNT49,CUST13638,CAR44,2024-09-07,2024-09-06
RNT50,CUST8198,CAR75,2021-12-12,2023-09-21
RNT51,CUST15967,CAR57,2023-07-16,2022-03-11
RNT52,CUST6784,CAR93,2023-11-07,2023-05-08
RNT53,CUST6944,CAR20,2023-01-30,2022-12-15
RNT54,CUST4656,CAR80,2024-09-06,2024-06-10
RNT55,CUST15374,CAR61,2024-08-04,2024-02-12
RNT56,CUST2674,CAR18,2023-02-02,2023-12-22
RNT57,CUST11544,CAR82,2024-08-04,2023-03-11
RNT58,CUST6690,CAR3,2024-03-12,2022-01-28
RNT59,CUST10482,CAR3,2021-11-03,2024-07-23
RNT60,CUST3126,CAR59,2024-01-08,2021-12-13
RNT61,CUST4304,CAR19,2022-10-06,2024-04-19
RNT62,CUST11538,CAR36,2023-05-25,2023-07-10
RNT63,CUST16587,CAR92,2021-12-02,2023-01-30
RNT64,CUST3912,CAR11,2024-03-28,2024-08-18
RNT65,CUST14829,CAR30,2024-09-07,2021-11-16
RNT66,CUST9269,CAR42,2024-01-12,2023-09-11
RNT67,CUST3225,CAR13,2023-08-28,2023-03-01
RNT68,CUST213,CAR73,2021-12-21,2022-04-30
RNT69,CUST4664,CAR70,2021-10-06,2024-06-05
RNT70,CUST1658,CAR3,2023-02-17,2022-04-28
RNT71,CUST13017,CAR61,2022-03-01,2023-03-16
RNT72,CUST7207,CAR86,2021-11-28,2021-11-19
RNT73,CUST16806,CAR67,2022-09-07,2021-10-16
RNT74,CUST16274,CAR25,2023-02-05,2022-09-08
RNT75,CUST3127,CAR46,2022-11-05,2023-12-10
RNT76,CUST12764,CAR79,2022-03-11,2022-02-15
RNT77,CUST14269,CAR62,2021-11-28,2022-10-10
RNT78,CUST7758,CAR59,2024-04-09,2023-12-31
RNT79,CUST122,CAR53,2023-09-16,2024-01-02
RNT80,CUST7446,CAR18,2024-06-01,2023-12-03
RNT81,CUST8847,CAR8,2023-11-27,2022-07-13
